bikes,docks,day,month,minute,status
1,16,0,12,1070,docks
8,13,5,1,440,both
6,10,1,12,1240,both
5,15,4,12,300,both
10,10,4,12,470,both
5,15,3,12,1290,both
0,16,1,12,20,docks
11,7,0,12,80,both
3,13,0,12,1360,docks
5,11,2,12,530,both
11,10,3,1,920,both
1,20,3,1,1140,docks
14,7,3,1,690,both
6,10,1,12,1140,both
3,17,4,12,1170,docks
0,15,2,12,1180,docks
5,11,2,12,500,both
0,21,4,1,1160,docks
10,5,3,12,700,both
0,20,4,1,70,docks
0,16,1,12,370,docks
0,16,1,12,40,docks
3,18,3,1,350,docks
3,17,4,12,1180,docks
11,7,0,12,250,both
1,15,1,12,880,docks
4,12,2,12,460,docks
1,19,4,12,1430,docks
12,3,3,12,630,bikes
12,3,3,12,650,bikes
5,11,1,12,720,both
11,7,0,12,340,both
4,12,2,12,230,docks
11,7,0,12,270,both
1,20,3,1,330,docks
0,21,3,1,270,docks
7,11,6,12,1360,both
12,5,3,12,1020,both
9,12,5,1,430,both
1,21,5,12,680,docks
13,9,2,1,930,both
4,12,2,12,370,docks
0,18,0,12,820,docks
4,12,2,12,280,docks
8,10,6,12,1400,both
6,14,5,12,570,both
4,11,3,12,280,docks
5,15,5,12,400,both
16,4,5,1,610,bikes
0,15,2,12,740,docks
1,19,4,12,1400,docks
0,21,5,1,100,docks
8,11,4,1,560,both
4,12,1,12,1010,docks
20,1,4,1,990,bikes
11,7,0,12,10,both
6,10,1,12,1210,both
2,13,2,12,830,docks
4,11,3,12,140,docks
0,15,2,12,1200,docks
8,12,3,1,400,both
5,15,4,12,170,both
0,21,3,1,50,docks
3,13,1,12,910,docks
3,12,2,12,730,docks
4,11,3,12,330,docks
0,16,1,12,200,docks
6,10,1,12,1250,both
15,4,4,1,600,bikes
9,8,3,12,910,both
10,8,0,12,650,both
11,7,0,12,260,both
12,3,3,12,660,bikes
14,6,4,12,800,both
0,21,2,1,1200,docks
2,13,2,12,1020,docks
0,21,2,1,1330,docks
0,16,0,12,1210,docks
16,3,4,1,650,bikes
14,6,5,1,690,both
0,21,2,1,1240,docks
16,4,5,1,680,bikes
7,8,3,12,430,both
0,21,4,1,1350,docks
0,21,5,1,220,docks
0,20,4,1,150,docks
0,15,2,12,1260,docks
0,18,0,12,830,docks
14,6,4,12,760,both
0,20,4,1,260,docks
1,14,2,12,930,docks
6,15,5,1,420,both
10,5,3,12,710,both
5,15,4,12,90,both
0,21,4,1,1310,docks
10,10,4,12,640,both
1,19,4,12,1310,docks
4,16,4,12,1140,docks
5,15,4,12,50,both
1,20,4,1,1290,docks
19,2,4,1,950,bikes
0,20,4,1,230,docks
0,15,2,12,760,docks
6,9,3,12,770,both
0,15,2,12,1100,docks
4,11,2,12,590,docks
12,2,3,12,570,bikes
12,6,0,12,570,both
4,12,2,12,340,docks
10,8,0,12,460,both
1,19,4,1,310,docks
6,10,1,12,1090,both
0,16,1,12,480,docks
1,15,1,12,890,docks
2,16,0,12,1010,docks
4,12,2,12,200,docks
0,20,4,1,80,docks
21,0,4,1,980,bikes
1,19,3,1,1370,docks
7,8,3,12,520,both
2,18,4,1,330,docks
3,18,3,1,370,docks
11,7,0,12,120,both
14,7,3,1,710,both
6,14,5,12,550,both
0,17,0,12,1130,docks
11,10,3,1,1030,both
4,12,1,12,1400,docks
12,5,3,12,1030,both
10,9,5,1,720,both
12,5,3,12,880,both
6,14,3,1,480,both
5,15,4,12,40,both
1,19,4,12,1280,docks
2,13,2,12,800,docks
16,5,4,1,1080,both
4,11,2,12,1420,docks
17,3,5,1,650,bikes
2,19,3,1,1250,docks
4,14,0,12,700,docks
0,20,4,1,220,docks
7,13,4,12,1110,both
11,9,4,12,730,both
0,21,5,1,40,docks
0,16,1,12,390,docks
11,7,0,12,160,both
0,15,2,12,770,docks
0,16,0,12,1280,docks
0,16,1,12,280,docks
1,19,4,1,30,docks
5,15,4,12,190,both
2,19,4,1,1140,docks
1,19,4,1,290,docks
4,12,1,12,1390,docks
6,16,2,1,1040,both
0,21,3,1,280,docks
6,10,1,12,1100,both
1,19,4,12,1410,docks
13,7,4,12,840,both
2,15,0,12,1100,docks
5,15,4,12,340,both
6,10,1,12,1220,both
16,3,4,1,690,bikes
6,10,1,12,1180,both
5,15,4,12,210,both
0,21,5,1,270,docks
12,6,0,12,590,both
14,7,3,1,700,both
6,10,1,12,1280,both
6,10,1,12,1030,both
1,19,5,12,30,docks
0,21,2,1,1320,docks
4,12,2,12,60,docks
8,12,5,12,500,both
12,8,4,12,510,both
3,12,2,12,1280,docks
0,20,4,1,190,docks
5,15,4,12,160,both
0,21,5,1,30,docks
14,3,3,12,960,bikes
6,14,4,12,390,both
0,21,3,1,310,docks
5,15,3,12,1260,both
5,10,2,12,620,both
0,21,5,1,260,docks
12,6,0,12,600,both
0,21,3,1,230,docks
11,9,4,12,1040,both
4,12,2,12,90,docks
0,16,1,12,290,docks
0,16,1,12,530,docks
5,10,2,12,650,both
5,15,3,12,1300,both
4,12,2,12,160,docks
5,15,4,12,20,both
0,16,1,12,560,docks
6,10,1,12,1050,both
6,11,3,12,1140,both
11,7,0,12,280,both
2,18,4,12,1220,docks
0,21,4,1,1320,docks
12,8,4,12,520,both
0,15,2,12,1120,docks
18,3,4,1,1010,bikes
0,15,2,12,1150,docks
0,20,4,1,90,docks
3,15,0,12,860,docks
3,18,4,1,1220,docks
1,19,4,12,1300,docks
0,21,5,1,150,docks
0,21,3,1,10,docks
0,16,1,12,140,docks
5,11,1,12,1300,both
12,9,3,1,930,both
0,16,1,12,580,docks
7,10,3,12,1120,both
0,21,2,1,1220,docks
0,15,2,12,1210,docks
1,14,2,12,910,docks
5,15,4,12,70,both
0,21,2,1,1340,docks
7,13,5,1,510,both
12,6,0,12,620,both
5,15,3,12,1390,both
1,19,5,12,650,docks
6,14,5,12,510,both
4,12,2,12,410,docks
4,11,3,12,190,docks
6,15,3,1,540,both
10,10,4,12,970,both
10,8,0,12,430,both
3,13,1,12,900,docks
5,16,3,1,1110,both
4,12,1,12,1330,docks
0,16,1,12,150,docks
0,21,4,1,1400,docks
4,12,2,12,110,docks
13,5,0,12,470,both
5,15,4,12,130,both
6,14,5,12,530,both
6,13,4,1,470,both
0,16,1,12,190,docks
7,13,5,12,490,both
11,8,5,1,710,both
4,12,2,12,120,docks
11,7,0,12,20,both
4,11,3,12,230,docks
14,6,5,1,540,both
11,7,0,12,70,both
2,19,3,1,1280,docks
2,18,5,12,290,docks
5,15,3,12,1250,both
16,5,4,1,760,both
3,12,2,12,1290,docks
0,16,0,12,1420,docks
0,20,4,1,160,docks
4,11,3,12,300,docks
11,7,0,12,230,both
5,15,4,12,220,both
13,7,4,12,850,both
7,11,0,12,850,both
0,21,5,1,90,docks
0,21,2,1,1410,docks
3,15,0,12,890,docks
11,8,4,1,550,both
1,20,5,1,350,docks
0,15,2,12,1130,docks
4,11,2,12,570,docks
18,3,4,1,910,bikes
1,19,5,12,160,docks
16,3,4,1,610,bikes
4,11,3,12,270,docks
11,7,0,12,240,both
6,14,4,12,430,both
5,11,1,12,750,both
12,9,3,1,580,both
1,19,3,1,1420,docks
0,20,4,1,280,docks
1,20,5,1,380,docks
4,12,2,12,450,docks
12,3,3,12,640,bikes
7,8,3,12,800,both
6,14,5,12,450,both
20,1,4,1,1020,bikes
0,20,4,1,250,docks
0,21,2,1,1130,docks
5,15,5,12,420,both
4,12,1,12,810,docks
5,15,3,12,1340,both
0,21,5,1,190,docks
13,5,0,12,490,both
2,13,2,12,790,docks
20,1,4,1,940,bikes
0,21,3,1,1180,docks
0,20,4,1,120,docks
18,3,4,1,1030,bikes
3,12,3,12,760,docks
15,6,3,1,720,both
14,7,4,1,1110,both
1,15,0,12,1330,docks
9,10,4,1,450,both
4,12,2,12,430,docks
12,5,3,12,830,both
14,8,2,1,1030,both
0,16,1,12,90,docks
12,8,4,12,570,both
5,15,4,12,80,both
14,6,4,12,820,both
16,5,3,1,740,both
11,7,0,12,300,both
0,21,4,1,1360,docks
10,7,3,12,1040,both
0,16,0,12,1180,docks
2,18,5,12,270,docks
0,20,4,1,170,docks
4,16,3,1,460,docks
4,12,2,12,150,docks
11,9,4,12,980,both
1,19,5,12,210,docks
0,21,3,1,190,docks
3,12,2,12,870,docks
9,10,4,1,480,both
4,11,2,12,1000,docks
14,6,4,12,860,both
11,7,0,12,140,both
0,21,5,1,240,docks
4,12,2,12,270,docks
11,7,0,12,50,both
14,7,4,1,1070,both
10,8,0,12,660,both
11,7,0,12,110,both
8,12,5,1,520,both
3,14,0,12,1120,docks
0,18,0,12,810,docks
13,6,4,1,660,both
7,13,5,12,590,both
4,11,2,12,1390,docks
15,6,3,1,810,both
0,16,1,12,50,docks
0,21,3,1,130,docks
4,11,3,12,240,docks
6,10,1,12,1150,both
2,19,4,1,1200,docks
6,10,1,12,1080,both
4,12,1,12,1350,docks
8,10,0,12,680,both
0,21,5,1,140,docks
3,12,2,12,1330,docks
0,16,1,12,570,docks
4,11,3,12,290,docks
11,6,3,12,820,both
1,17,0,12,1000,docks
13,9,2,1,960,both
7,13,4,12,1060,both
13,7,4,12,650,both
10,10,4,12,910,both
4,11,3,12,200,docks
17,4,3,1,750,bikes
2,19,3,1,1210,docks
4,12,2,12,560,docks
5,10,2,12,610,both
1,20,3,1,1130,docks
9,9,0,12,730,both
11,9,4,12,870,both
11,7,0,12,330,both
1,20,4,1,1300,docks
4,11,2,12,1010,docks
8,11,4,1,460,both
4,11,2,12,580,docks
5,15,4,12,150,both
0,16,1,12,380,docks
0,21,4,1,1370,docks
4,11,3,12,150,docks
13,7,4,12,830,both
15,3,0,12,640,bikes
8,10,0,12,950,both
5,15,4,12,200,both
5,15,3,12,1280,both
1,19,4,12,1360,docks
12,6,0,12,520,both
5,10,2,12,640,both
5,15,4,12,0,both
4,12,2,12,420,docks
15,6,3,1,1020,both
10,10,5,1,470,both
2,18,5,12,340,docks
1,19,5,12,90,docks
1,14,2,12,880,docks
4,12,1,12,990,docks
5,10,2,12,630,both
0,21,3,1,1170,docks
1,15,0,12,1340,docks
0,15,2,12,1050,docks
0,16,1,12,430,docks
0,0,5,12,700,none
1,19,3,1,1400,docks
13,8,3,1,1000,both
7,11,6,12,1330,both
0,16,0,12,1230,docks
3,12,2,12,1320,docks
12,8,4,12,1030,both
2,14,1,12,620,docks
17,4,4,1,890,bikes
13,5,0,12,510,both
0,16,1,12,510,docks
0,16,1,12,540,docks
5,10,2,12,1030,both
6,10,1,12,1260,both
4,12,2,12,400,docks
11,7,0,12,310,both
11,9,4,12,560,both
4,12,1,12,1410,docks
4,12,2,12,170,docks
0,21,3,1,240,docks
5,11,1,12,700,both
13,4,3,12,940,bikes
11,7,0,12,190,both
4,11,2,12,980,docks
1,19,4,1,20,docks
12,8,4,12,890,both
5,15,4,12,230,both
1,19,3,1,1380,docks
10,8,0,12,390,both
11,7,0,12,90,both
5,15,4,12,380,both
6,14,5,12,580,both
11,9,4,12,1000,both
13,4,3,12,990,bikes
1,19,3,1,1360,docks
0,16,0,12,1400,docks
12,3,3,12,590,bikes
6,10,1,12,1230,both
5,15,5,12,370,both
11,7,0,12,210,both
13,9,2,1,940,both
16,5,4,1,1050,both
5,15,3,12,1330,both
13,7,4,12,790,both
7,14,3,1,510,both
4,12,1,12,1430,docks
5,15,3,12,1410,both
12,9,3,1,600,both
1,19,4,12,1380,docks
11,9,4,12,1050,both
14,8,2,1,880,both
0,16,1,12,300,docks
0,21,3,1,260,docks
0,21,5,1,0,docks
0,16,1,12,30,docks
4,11,3,12,130,docks
4,11,3,12,10,docks
7,11,0,12,720,both
1,19,5,12,50,docks
4,18,2,1,1100,docks
6,12,0,12,980,both
12,7,5,1,700,both
4,12,2,12,70,docks
5,15,3,12,1270,both
16,6,2,1,860,both
4,12,2,12,100,docks
5,10,3,12,340,both
4,12,1,12,1380,docks
4,12,2,12,50,docks
0,16,1,12,310,docks
5,15,4,12,260,both
2,16,0,12,1020,docks
1,15,1,12,850,docks
11,9,4,12,580,both
0,21,3,1,90,docks
7,10,3,12,1230,both
10,8,0,12,450,both
9,11,4,12,950,both
15,6,3,1,1010,both
0,16,0,12,1370,docks
0,21,3,1,170,docks
0,16,1,12,210,docks
0,20,3,1,1340,docks
3,13,1,12,760,docks
0,21,2,1,1250,docks
4,11,2,12,1400,docks
16,4,5,1,570,bikes
4,12,2,12,360,docks
5,15,4,12,180,both
4,12,1,12,970,docks
3,17,4,12,1150,docks
7,13,5,12,460,both
4,12,2,12,10,docks
1,19,4,12,1230,docks
11,4,3,12,600,bikes
10,10,4,12,1020,both
0,21,4,1,1150,docks
0,21,3,1,110,docks
4,11,2,12,960,docks
4,12,2,12,0,docks
3,18,3,1,520,docks
4,11,2,12,990,docks
18,2,5,1,580,bikes
2,16,0,12,990,docks
0,21,4,1,1380,docks
5,11,1,12,740,both
4,11,3,12,60,docks
0,21,2,1,1190,docks
14,3,3,12,950,bikes
6,10,1,12,1040,both
6,10,1,12,1160,both
1,20,3,1,320,docks
3,13,1,12,770,docks
1,14,2,12,670,docks
0,21,3,1,80,docks
0,16,1,12,80,docks
16,3,4,1,680,bikes
7,10,3,12,1180,both
7,13,3,1,500,both
0,21,2,1,1380,docks
18,4,2,1,1020,bikes
17,3,5,1,620,bikes
9,8,3,12,1160,both
10,10,4,12,590,both
16,5,3,1,780,both
5,15,4,12,310,both
4,12,1,12,960,docks
0,21,5,1,280,docks
1,15,0,12,1260,docks
1,19,4,12,1240,docks
16,4,5,1,590,bikes
2,18,5,12,320,docks
4,12,2,12,260,docks
6,9,3,12,730,both
4,12,2,12,210,docks
19,2,4,1,720,bikes
11,9,4,12,990,both
0,21,4,1,1180,docks
3,12,2,12,1350,docks
4,17,3,1,1100,docks
0,15,2,12,1230,docks
11,8,4,1,490,both
11,4,3,12,620,bikes
0,21,2,1,1430,docks
4,12,2,12,350,docks
10,10,4,12,680,both
13,4,3,12,1010,bikes
0,21,5,1,230,docks
1,13,2,12,700,docks
5,11,2,12,540,both
0,15,2,12,1270,docks
14,6,4,12,770,both
17,3,5,1,660,bikes
7,8,3,12,460,both
3,13,1,12,800,docks
4,11,3,12,90,docks
0,21,5,1,160,docks
5,15,4,12,30,both
0,16,1,12,400,docks
0,16,1,12,440,docks
4,11,3,12,40,docks
12,6,0,12,610,both
4,11,2,12,600,docks
0,22,5,12,660,docks
3,17,4,1,360,docks
4,11,2,12,1380,docks
0,21,3,1,1150,docks
20,1,4,1,960,bikes
3,17,4,12,1190,docks
8,10,0,12,910,both
6,12,0,12,970,both
15,5,4,12,810,both
0,16,1,12,250,docks
4,12,1,12,1310,docks
7,10,3,12,1200,both
9,11,4,12,960,both
6,10,1,12,1190,both
0,18,0,12,760,docks
0,21,3,1,210,docks
0,16,0,12,1190,docks
4,11,3,12,100,docks
3,18,3,1,1090,docks
0,16,0,12,1290,docks
13,7,5,1,560,both
7,14,4,1,1120,both
0,21,4,1,1330,docks
5,15,3,12,1360,both
9,11,4,12,1010,both
3,17,4,12,1160,docks
8,7,3,12,480,both
5,15,4,12,140,both
6,14,4,12,440,both
1,13,2,12,690,docks
14,6,5,1,550,both
15,6,3,1,840,both
12,8,4,12,670,both
0,21,5,1,290,docks
0,21,2,1,1400,docks
5,11,2,12,490,both
2,13,2,12,820,docks
0,21,3,1,60,docks
0,20,4,1,200,docks
6,10,1,12,1120,both
4,12,1,12,1360,docks
1,19,5,12,120,docks
